자치구,읍면동명,사업체 창업률
종로구,사직동,12.12
종로구,삼청동,17.31
종로구,부암동,14.61
종로구,평창동,13.7
종로구,무악동,5.58
종로구,교남동,9.93
종로구,가회동,12.47
종로구,종로1.2.3.4가동,9.62
종로구,종로5.6가동,9.36
종로구,이화동,13.94
종로구,창신1동,11.75
종로구,창신2동,13.19
종로구,창신3동,14.13
종로구,숭인1동,12.01
종로구,숭인2동,13.5
종로구,청운효자동,13.78
종로구,혜화동,14.34
중구,소공동,8.55
중구,회현동,9.27
중구,명동,11.12
중구,필동,8.39
중구,장충동,9.88
중구,광희동,13.41
중구,을지로동,4.78
중구,신당5동,9.28
중구,황학동,7.79
중구,중림동,11.54
중구,신당동,15.7
중구,다산동,10.09
중구,약수동,11.48
중구,청구동,7.71
중구,동화동,12.47
용산구,후암동,11.9
용산구,용산2가동,14.11
용산구,남영동,11.18
용산구,원효로2동,11.76
용산구,효창동,11.3
용산구,용문동,13.93
용산구,이촌1동,11.06
용산구,이촌2동,9.12
용산구,이태원1동,13.94
용산구,이태원2동,14.32
용산구,서빙고동,10.84
용산구,보광동,15.31
용산구,청파동,11.7
용산구,원효로1동,10.96
용산구,한강로동,10.53
용산구,한남동,15.09
중구,왕십리2동,12.95
중구,마장동,9.45
중구,사근동,16.27
중구,행당1동,16.68
중구,행당2동,13.06
중구,응봉동,8.8
중구,금호1가동,10.47
중구,금호4가동,12.16
중구,성수1가1동,9.12
중구,성수1가2동,10.78
중구,성수2가1동,10.89
중구,성수2가3동,9.97
중구,송정동,9.5
중구,용답동,10.85
중구,왕십리도선동,15.16
중구,금호2.3가동,13.49
중구,옥수동,14.91
광진구,화양동,16.77
광진구,군자동,11.5
광진구,중곡1동,11.71
광진구,중곡2동,12.77
광진구,중곡3동,12.77
광진구,중곡4동,11.65
광진구,능동,18.34
광진구,구의1동,13.47
광진구,구의2동,11.27
광진구,구의3동,13.81
광진구,광장동,14.41
광진구,자양1동,11.0
광진구,자양2동,10.5
광진구,자양3동,11.5
광진구,자양4동,13.07
동대문구,회기동,17.0
동대문구,휘경1동,10.22
동대문구,휘경2동,9.02
동대문구,청량리동,9.74
동대문구,용신동,10.34
동대문구,제기동,8.06
동대문구,전농1동,13.04
동대문구,전농2동,9.26
동대문구,답십리1동,9.9
동대문구,답십리2동,8.18
동대문구,장안1동,11.37
동대문구,장안2동,12.86
동대문구,이문1동,12.25
동대문구,이문2동,11.25
중랑구,면목2동,11.93
중랑구,면목4동,11.07
중랑구,면목5동,10.31
중랑구,면목7동,12.63
중랑구,상봉1동,12.1
중랑구,상봉2동,15.06
중랑구,중화1동,11.4
중랑구,중화2동,12.46
중랑구,묵1동,12.17
중랑구,묵2동,9.97
중랑구,망우3동,11.2
중랑구,신내1동,11.98
중랑구,신내2동,10.83
중랑구,면목본동,14.13
중랑구,면목3.8동,14.02
중랑구,망우본동,9.51
성북구,돈암1동,9.9
성북구,돈암2동,13.32
성북구,안암동,13.34
성북구,보문동,12.74
성북구,정릉1동,12.84
성북구,정릉2동,12.22
성북구,정릉3동,9.6
성북구,정릉4동,12.49
성북구,길음1동,13.74
성북구,길음2동,13.58
성북구,월곡1동,11.63
성북구,월곡2동,13.05
성북구,장위1동,8.95
성북구,장위2동,10.34
성북구,장위3동,7.96
성북구,성북동,13.1
성북구,삼선동,12.76
성북구,동선동,17.46
성북구,종암동,12.45
성북구,석관동,12.44
강북구,번1동,14.89
강북구,번2동,8.69
강북구,번3동,6.98
강북구,수유1동,10.84
강북구,수유2동,11.89
강북구,수유3동,17.22
강북구,삼양동,12.41
강북구,미아동,13.61
강북구,송중동,14.63
강북구,송천동,11.7
강북구,삼각산동,14.47
강북구,우이동,12.99
강북구,인수동,10.0
도봉구,쌍문1동,11.64
도봉구,쌍문2동,14.07
도봉구,쌍문3동,14.46
도봉구,쌍문4동,14.45
도봉구,방학1동,14.25
도봉구,방학2동,12.7
도봉구,방학3동,10.68
도봉구,창1동,10.11
도봉구,창2동,10.94
도봉구,창3동,13.42
도봉구,창4동,13.01
도봉구,창5동,10.86
도봉구,도봉1동,12.58
도봉구,도봉2동,12.44
노원구,월계1동,10.04
노원구,월계2동,5.97
노원구,월계3동,7.25
