자치구,읍면동명,사업체 평균연령
종로구,사직동,9.833
종로구,삼청동,9.833
종로구,부암동,11.25
종로구,평창동,9.917
종로구,무악동,10.833
종로구,교남동,12.583
종로구,가회동,10.667
종로구,종로1.2.3.4가동,10.833
종로구,종로5.6가동,9.167
종로구,이화동,9.334
종로구,창신1동,9.583
종로구,창신2동,9.25
종로구,창신3동,8.917
종로구,숭인1동,8.167
종로구,숭인2동,8.917
종로구,청운효자동,11.667
종로구,혜화동,8.334
중구,소공동,11.334000000000001
중구,회현동,10.083
중구,명동,10.083
중구,필동,9.334
중구,장충동,11.0
중구,광희동,8.917
중구,을지로동,11.75
중구,신당1동,5.917000000000001
중구,신당2동,9.667
중구,신당3동,9.583
중구,신당4동,10.083
중구,신당5동,8.583
중구,신당6동,8.0
중구,황학동,10.167
중구,중림동,10.5
용산구,후암동,10.75
용산구,용산2가동,11.917
용산구,남영동,9.334
용산구,원효로2동,8.999
용산구,효창동,10.083
용산구,용문동,8.417
용산구,이촌1동,10.583
용산구,이촌2동,12.917
용산구,이태원1동,8.167
용산구,이태원2동,10.0
용산구,서빙고동,11.667
용산구,보광동,10.0
용산구,청파동,10.167
용산구,원효로1동,8.334
용산구,한강로동,7.832999999999999
용산구,한남동,8.25
중구,왕십리2동,9.334
중구,마장동,9.75
중구,사근동,8.5
중구,행당1동,7.582999999999999
중구,행당2동,7.417000000000001
중구,응봉동,9.417
중구,금호1가동,9.25
중구,금호4가동,9.917
중구,성수1가1동,9.999
중구,성수1가2동,9.334
중구,성수2가1동,9.167
중구,성수2가3동,9.334
중구,송정동,9.5
중구,용답동,9.417
중구,왕십리도선동,8.833
중구,금호2.3가동,9.833
중구,옥수동,8.5
광진구,화양동,6.417000000000001
광진구,군자동,7.75
광진구,중곡1동,8.0
광진구,중곡2동,7.082999999999999
광진구,중곡3동,7.75
광진구,중곡4동,8.0
광진구,능동,7.999
광진구,구의1동,7.5
광진구,구의2동,8.917
광진구,구의3동,7.0
광진구,광장동,7.667000000000001
광진구,자양1동,8.5
광진구,자양2동,8.25
광진구,자양3동,7.582999999999999
광진구,자양4동,7.917000000000001
동대문구,회기동,7.999
동대문구,휘경1동,9.667
동대문구,휘경2동,11.833
동대문구,청량리동,11.334000000000001
동대문구,용신동,9.25
동대문구,제기동,11.334000000000001
동대문구,전농1동,9.5
동대문구,전농2동,12.583
동대문구,답십리1동,12.5
동대문구,답십리2동,10.999
동대문구,장안1동,9.167
동대문구,장안2동,8.25
동대문구,이문1동,9.917
동대문구,이문2동,10.583
중랑구,면목2동,8.25
중랑구,면목4동,8.417
중랑구,면목5동,8.5
중랑구,면목7동,8.667
중랑구,상봉1동,8.667
중랑구,상봉2동,7.334
중랑구,중화1동,8.334
중랑구,중화2동,8.334
중랑구,묵1동,8.167
중랑구,묵2동,8.833
중랑구,망우3동,8.083
중랑구,신내1동,8.75
중랑구,신내2동,7.667000000000001
중랑구,면목본동,7.832999999999999
중랑구,면목3.8동,9.417
중랑구,망우본동,8.0
성북구,돈암1동,7.75
성북구,돈암2동,8.583
성북구,안암동,7.917000000000001
성북구,보문동,8.75
성북구,정릉1동,8.334
성북구,정릉2동,9.083
성북구,정릉3동,11.5
성북구,정릉4동,9.083
성북구,길음1동,7.5
성북구,길음2동,7.082999999999999
성북구,월곡1동,8.083
성북구,월곡2동,7.082999999999999
성북구,장위1동,8.417
성북구,장위2동,8.75
성북구,장위3동,8.75
성북구,성북동,10.917
성북구,삼선동,8.667
성북구,동선동,7.0
성북구,종암동,8.167
성북구,석관동,7.917000000000001
강북구,번1동,7.334
강북구,번2동,9.75
강북구,번3동,9.334
강북구,수유1동,9.083
강북구,수유2동,8.417
강북구,수유3동,6.667000000000001
강북구,삼양동,8.5
강북구,미아동,7.25
강북구,송중동,7.5
강북구,송천동,8.917
강북구,삼각산동,7.167000000000001
강북구,우이동,9.25
강북구,인수동,8.917
도봉구,쌍문1동,8.25
도봉구,쌍문2동,7.5
도봉구,쌍문3동,7.082999999999999
도봉구,쌍문4동,7.917000000000001
도봉구,방학1동,6.5
도봉구,방학2동,7.582999999999999
도봉구,방학3동,8.583
도봉구,창1동,7.5
도봉구,창2동,8.167
도봉구,창3동,7.334
도봉구,창4동,7.75
도봉구,창5동,6.917000000000001
도봉구,도봉1동,8.417
도봉구,도봉2동,7.75
노원구,월계1동,8.334
노원구,월계2동,10.083
노원구,월계3동,9.999
노원구,공릉2동,9.0
노원구,하계1동,8.917
노원구,하계2동,11.083
노원구,중계본동,7.582999999999999
노원구,중계1동,8.083
노원구,중계4동,7.0
노원구,상계1동,10.083
노원구,상계2동,6.0
노원구,상계5동,7.917000000000001
노원구,상계8동,9.583
노원구,상계9동,10.417
노원구,상계10동,10.167
노원구,상계3.4동,9.334
노원구,상계6.7동,8.917
노원구,중계2.3동,8.334
노원구,공릉1동,8.083
은평구,녹번동,7.999
은평구,불광1동,7.75
은평구,갈현1동,7.082999999999999
은평구,갈현2동,7.5
은평구,구산동,9.0
은평구,대조동,7.667000000000001
은평구,응암1동,11.0
은평구,응암2동,9.75
은평구,신사1동,8.334
은평구,신사2동,9.167
은평구,증산동,9.083
은평구,수색동,10.167
은평구,진관동,5.582999999999999
은평구,불광2동,9.334
은평구,응암3동,8.833
은평구,역촌동,7.582999999999999
서대문구,천연동,10.167
서대문구,홍제1동,10.334000000000001
서대문구,홍제3동,11.667
서대문구,홍제2동,9.417
서대문구,홍은1동,11.417
서대문구,홍은2동,10.833
서대문구,남가좌1동,12.917
서대문구,남가좌2동,9.833
서대문구,북가좌1동,12.833
서대문구,북가좌2동,14.583
서대문구,충현동,10.417
서대문구,북아현동,11.083
서대문구,신촌동,6.667000000000001
서대문구,연희동,10.334000000000001
마포구,용강동,8.167
마포구,대흥동,8.833
마포구,염리동,11.0
마포구,신수동,9.917
마포구,서교동,6.0
마포구,합정동,7.334
마포구,망원1동,7.667000000000001
마포구,망원2동,8.083
마포구,연남동,8.083
마포구,성산1동,8.167
마포구,성산2동,8.417
마포구,상암동,6.082999999999999
마포구,도화동,8.583
마포구,서강동,7.082999999999999
마포구,공덕동,9.25
마포구,아현동,8.667
양천구,목1동,6.582999999999999
양천구,목2동,9.25
양천구,목3동,8.25
양천구,목4동,8.083
양천구,신월1동,9.334
양천구,신월2동,11.25
양천구,신월3동,9.417
양천구,신월4동,11.25
양천구,신월5동,9.083
양천구,신월6동,18.583
양천구,신월7동,10.25
양천구,신정1동,8.417
양천구,신정2동,7.832999999999999
양천구,신정3동,10.75
양천구,신정6동,7.667000000000001
양천구,신정7동,9.083
양천구,목5동,6.917000000000001
양천구,신정4동,7.917000000000001
강서구,염창동,9.25
강서구,등촌1동,8.417
강서구,등촌2동,10.167
강서구,등촌3동,8.917
강서구,화곡본동,9.5
강서구,화곡2동,9.167
강서구,화곡3동,7.832999999999999
강서구,화곡4동,8.167
강서구,화곡6동,7.5
강서구,화곡8동,8.5
강서구,가양1동,10.5
강서구,가양2동,8.917
강서구,가양3동,11.5
강서구,발산1동,8.417
강서구,공항동,8.167
강서구,방화1동,9.167
강서구,방화2동,14.167
강서구,방화3동,12.083
강서구,화곡1동,8.083
강서구,우장산동,8.5
구로구,신도림동,9.167
구로구,구로1동,11.167
구로구,구로3동,7.667000000000001
구로구,구로4동,8.75
구로구,구로5동,11.25
구로구,고척1동,10.417
구로구,고척2동,10.083
구로구,개봉2동,10.167
구로구,개봉3동,9.999
구로구,오류1동,9.75
구로구,오류2동,10.417
구로구,수궁동,11.583
구로구,가리봉동,10.083
구로구,구로2동,10.167
구로구,개봉1동,9.583
금천구,가산동,7.5
금천구,독산1동,9.167
금천구,독산2동,8.083
금천구,독산3동,8.083
금천구,독산4동,8.167
금천구,시흥1동,8.583
금천구,시흥2동,9.334
금천구,시흥3동,10.334000000000001
금천구,시흥4동,8.75
금천구,시흥5동,8.5
영등포구,여의동,9.083
영등포구,당산1동,8.667
영등포구,당산2동,7.917000000000001
영등포구,양평1동,10.667
영등포구,양평2동,9.083
영등포구,신길1동,9.167
영등포구,신길3동,9.833
영등포구,신길4동,9.833
영등포구,신길5동,9.417
영등포구,신길6동,8.917
영등포구,신길7동,8.583
영등포구,대림1동,7.917000000000001
영등포구,대림2동,7.417000000000001
영등포구,대림3동,9.417
영등포구,영등포본동,8.083
영등포구,영등포동,10.083
영등포구,도림동,8.75
영등포구,문래동,10.917
동작구,노량진2동,9.417
동작구,상도1동,9.083
동작구,상도2동,9.833
동작구,상도3동,10.583
동작구,상도4동,11.334000000000001
동작구,사당1동,8.25
동작구,사당3동,11.0
동작구,사당4동,9.334
동작구,사당5동,9.75
동작구,대방동,9.917
동작구,신대방1동,8.917
동작구,신대방2동,8.75
동작구,흑석동,10.167
동작구,노량진1동,12.5
동작구,사당2동,8.334
관악구,보라매동,7.417000000000001
관악구,청림동,7.832999999999999
관악구,행운동,7.75
관악구,낙성대동,7.334
관악구,중앙동,10.417
관악구,인헌동,8.25
관악구,남현동,8.334
관악구,서원동,6.999
관악구,신원동,8.334
관악구,서림동,8.417
관악구,신사동,7.167000000000001
관악구,신림동,6.25
관악구,난향동,8.417
관악구,조원동,7.999
관악구,대학동,6.582999999999999
관악구,은천동,8.25
관악구,성현동,8.5
관악구,청룡동,8.167
관악구,난곡동,9.917
관악구,삼성동,10.334000000000001
관악구,미성동,8.667
서초구,서초1동,8.25
서초구,서초2동,7.832999999999999
서초구,서초3동,8.334
서초구,서초4동,6.999
서초구,잠원동,7.417000000000001
서초구,반포본동,9.417
서초구,반포1동,6.417000000000001
서초구,반포2동,8.75
서초구,반포3동,9.75
서초구,반포4동,8.667
서초구,방배본동,7.25
서초구,방배1동,7.999
서초구,방배2동,8.083
서초구,방배3동,9.917
서초구,방배4동,7.917000000000001
서초구,양재1동,8.5
서초구,양재2동,8.0
서초구,내곡동,12.999
강남구,신사동,6.167000000000001
강남구,논현1동,6.917000000000001
강남구,논현2동,7.417000000000001
강남구,삼성1동,8.833
강남구,삼성2동,7.5
강남구,대치1동,7.0
강남구,대치4동,6.167000000000001
강남구,역삼1동,6.999
강남구,역삼2동,7.667000000000001
강남구,도곡1동,7.582999999999999
강남구,도곡2동,7.667000000000001
강남구,개포1동,11.25
강남구,개포4동,9.833
강남구,일원본동,9.999
강남구,일원1동,8.0
강남구,일원2동,9.667
강남구,수서동,8.083
강남구,세곡동,9.083
강남구,압구정동,6.667000000000001
강남구,청담동,7.25
강남구,대치2동,8.75
강남구,개포2동,9.167
송파구,풍납1동,10.167
송파구,풍납2동,9.917
송파구,거여1동,9.999
송파구,거여2동,10.417
송파구,마천1동,10.917
송파구,마천2동,10.334000000000001
송파구,방이1동,7.334
송파구,방이2동,7.582999999999999
송파구,오륜동,13.5
송파구,오금동,12.417
송파구,송파1동,8.75
송파구,송파2동,8.5
송파구,석촌동,8.0
송파구,삼전동,8.083
송파구,가락본동,7.5
송파구,가락1동,12.75
송파구,가락2동,8.083
송파구,문정1동,7.667000000000001
송파구,문정2동,5.334
송파구,장지동,8.833
송파구,잠실본동,7.417000000000001
송파구,잠실4동,8.5
송파구,잠실6동,9.999
송파구,잠실7동,10.833
송파구,잠실2동,6.167000000000001
송파구,잠실3동,8.0
강동구,강일동,8.25
강동구,상일동,12.25
강동구,명일1동,8.167
강동구,명일2동,7.334
강동구,고덕1동,12.334000000000001
강동구,고덕2동,20.417
강동구,암사2동,9.25
강동구,암사3동,10.667
강동구,천호1동,9.917
강동구,천호3동,8.833
강동구,성내1동,8.5
강동구,성내2동,7.999
강동구,성내3동,7.75
강동구,둔촌1동,12.417
강동구,둔촌2동,8.999
강동구,암사1동,9.083
강동구,천호2동,8.167
강동구,길동,8.417
