자치구,읍면동명,장애등급별 장애인현황
종로구,사직동,358
종로구,삼청동,134
종로구,부암동,367
종로구,평창동,611
종로구,무악동,326
종로구,교남동,426
종로구,가회동,204
종로구,종로1.2.3.4가동,436
종로구,종로5.6가동,310
종로구,이화동,346
종로구,창신1동,350
종로구,창신2동,588
종로구,창신3동,366
종로구,숭인1동,314
종로구,숭인2동,508
종로구,청운효자동,630
종로구,혜화동,631
중구,소공동,47
중구,회현동,391
중구,명동,142
중구,필동,196
중구,장충동,228
중구,광희동,272
중구,을지로동,118
중구,신당1동,427
중구,신당2동,733
중구,신당3동,955
중구,신당4동,684
중구,신당5동,511
중구,신당6동,448
중구,황학동,587
중구,중림동,557
용산구,후암동,934
용산구,용산2가동,581
용산구,남영동,571
용산구,원효로2동,548
용산구,효창동,409
용산구,용문동,482
용산구,이촌1동,552
용산구,이촌2동,410
용산구,이태원1동,306
용산구,이태원2동,451
용산구,서빙고동,422
용산구,보광동,730
용산구,청파동,926
용산구,원효로1동,463
용산구,한강로동,642
용산구,한남동,798
성동구,왕십리2동,728
성동구,마장동,1196
성동구,사근동,471
성동구,행당1동,723
성동구,행당2동,937
성동구,응봉동,573
성동구,금호1가동,746
성동구,금호4가동,554
성동구,성수1가1동,695
성동구,성수1가2동,682
성동구,성수2가1동,894
성동구,성수2가3동,467
성동구,송정동,559
성동구,용답동,837
성동구,왕십리도선동,638
성동구,금호2.3가동,919
성동구,옥수동,637
광진구,화양동,687
광진구,군자동,828
광진구,중곡1동,695
광진구,중곡2동,895
광진구,중곡3동,807
광진구,중곡4동,1319
광진구,능동,405
광진구,구의1동,827
광진구,구의2동,1181
광진구,구의3동,824
광진구,광장동,771
광진구,자양1동,941
광진구,자양2동,1037
광진구,자양3동,859
광진구,자양4동,1111
동대문구,회기동,381
동대문구,휘경1동,746
동대문구,휘경2동,852
동대문구,청량리동,1423
동대문구,용신동,1617
동대문구,제기동,1401
동대문구,전농1동,1579
동대문구,전농2동,946
동대문구,답십리1동,958
동대문구,답십리2동,1564
동대문구,장안1동,1516
동대문구,장안2동,1297
동대문구,이문1동,1321
동대문구,이문2동,983
중랑구,면목2동,1326
중랑구,면목4동,1388
중랑구,면목5동,715
중랑구,면목7동,1102
중랑구,상봉1동,1430
중랑구,상봉2동,913
중랑구,중화1동,913
중랑구,중화2동,1651
중랑구,묵1동,1419
중랑구,묵2동,955
중랑구,망우3동,925
중랑구,신내1동,1384
중랑구,신내2동,1465
중랑구,면목본동,1794
중랑구,면목3.8동,1357
중랑구,망우본동,1826
성북구,돈암1동,629
성북구,돈암2동,654
성북구,안암동,681
성북구,보문동,623
성북구,정릉1동,744
성북구,정릉2동,940
성북구,정릉3동,844
성북구,정릉4동,1022
성북구,길음1동,1104
성북구,길음2동,994
