자치구,읍면동명,장애등급
종로구,사직동,315
종로구,삼청동,126
종로구,부암동,334
종로구,평창동,573
종로구,무악동,300
종로구,교남동,247
종로구,가회동,182
종로구,종로1.2.3.4가동,392
종로구,종로5.6가동,291
종로구,이화동,318
종로구,창신1동,300
종로구,창신2동,517
종로구,창신3동,325
종로구,숭인1동,282
종로구,숭인2동,472
종로구,청운효자동,526
종로구,혜화동,572
중구,소공동,38
중구,회현동,336
중구,명동,117
중구,필동,190
중구,장충동,213
중구,광희동,251
중구,을지로동,99
중구,신당5동,459
중구,황학동,542
중구,중림동,438
중구,신당동,377
중구,다산동,670
중구,약수동,888
중구,청구동,658
중구,동화동,443
용산구,후암동,840
용산구,용산2가동,491
용산구,남영동,577
용산구,원효로2동,522
용산구,효창동,325
용산구,용문동,451
용산구,이촌1동,543
용산구,이촌2동,357
용산구,이태원1동,246
용산구,이태원2동,344
용산구,서빙고동,393
용산구,보광동,651
용산구,청파동,830
용산구,원효로1동,454
용산구,한강로동,499
용산구,한남동,666
중구,왕십리2동,653
중구,마장동,1133
중구,사근동,403
중구,행당1동,557
중구,행당2동,879
중구,응봉동,536
중구,금호1가동,620
중구,금호4가동,499
중구,성수1가1동,612
중구,성수1가2동,577
중구,성수2가1동,862
중구,성수2가3동,455
중구,송정동,536
중구,용답동,806
중구,왕십리도선동,888
중구,금호2.3가동,968
중구,옥수동,680
광진구,화양동,581
광진구,군자동,774
광진구,중곡1동,683
광진구,중곡2동,871
광진구,중곡3동,748
광진구,중곡4동,1348
광진구,능동,364
광진구,구의1동,792
광진구,구의2동,1044
광진구,구의3동,775
광진구,광장동,708
광진구,자양1동,880
광진구,자양2동,973
광진구,자양3동,777
광진구,자양4동,1038
동대문구,회기동,315
동대문구,휘경1동,616
동대문구,휘경2동,860
동대문구,청량리동,1384
동대문구,용신동,1479
동대문구,제기동,1314
동대문구,전농1동,1576
동대문구,전농2동,875
동대문구,답십리1동,958
동대문구,답십리2동,1439
동대문구,장안1동,1552
동대문구,장안2동,1223
동대문구,이문1동,1287
동대문구,이문2동,1031
