읍면동명,자치구,소득(동별)
신사동,강남구,1925266.7299683262
신사동,관악구,269594.90798399085
논현1동,강남구,2601180.3234719317
논현2동,강남구,2403661.044814341
압구정동,강남구,3033472.24031269
청담동,강남구,3291842.314441674
역삼1동,강남구,4072414.9062605295
역삼2동,강남구,4065204.578610419
삼성1동,강남구,1630845.0175887863
삼성2동,강남구,3316969.213828425
대치1동,강남구,2769312.0545858885
대치2동,강남구,4244588.790754094
대치4동,강남구,2287312.5759148197
도곡1동,강남구,2470957.4362153783
도곡2동,강남구,3756471.4583192943
개포1동,강남구,767790.647348204
개포2동,강남구,2175661.7447267342
개포4동,강남구,2019437.9789743244
일원본동,강남구,2673174.352584406
일원1동,강남구,1808699.7662915287
일원2동,강남구,1984151.072444235
수서동,강남구,1755059.2984702468
세곡동,강남구,4928040.454073725
강일동,강동구,558368.371528052
상일동,강동구,188721.16285114348
명일1동,강동구,452047.8041354449
명일2동,강동구,310425.0142849843
고덕1동,강동구,471397.6300258757
고덕2동,강동구,127946.84338779436
암사1동,강동구,637664.7168437386
암사2동,강동구,251047.60738591762
암사3동,강동구,324583.84410320496
길동,강동구,805725.3704108037
천호1동,강동구,493627.5102155058
천호2동,강동구,622195.2036318701
천호3동,강동구,487953.6307877414
성내1동,강동구,356091.98305313085
성내2동,강동구,436319.6034116724
성내3동,강동구,413744.8065395032
둔촌1동,강동구,4949.554394432806
둔촌2동,강동구,481900.34300918423
번1동,강북구,176419.7318128195
번2동,강북구,154090.1488006292
수유1동,강북구,195526.30483680693
수유2동,강북구,196060.50538733785
수유3동,강북구,216146.44608729845
우이동,강북구,190540.4330318521
인수동,강북구,292145.37774282345
삼양동,강북구,229492.55650806136
미아동,강북구,204661.13425088482
송중동,강북구,258196.9327565868
송천동,강북구,257404.5352732993
삼각산동,강북구,294700.6370428628
번3동,강북구,164765.2564687377
화곡1동,강서구,978373.0329868052
화곡2동,강서구,351674.6578035453
화곡3동,강서구,406121.1591363455
화곡8동,강서구,475811.9651472744
우장산동,강서구,810614.112021858
발산1동,강서구,689912.1409436226
염창동,강서구,760032.3639877382
등촌1동,강서구,424407.16779954685
등촌2동,강서구,392236.675063308
화곡본동,강서구,645270.661868586
화곡4동,강서구,396763.4462881513
화곡6동,강서구,446056.9432227109
가양3동,강서구,291234.2103825137
등촌3동,강서구,585349.0933626549
가양1동,강서구,611901.3799147008
가양2동,강서구,273771.2510329201
공항동,강서구,506998.37718246033
방화1동,강서구,820311.7800213249
방화2동,강서구,433049.1855924297
방화3동,강서구,439830.39624150336
보라매동,관악구,275025.7598821432
은천동,관악구,365886.900652559
성현동,관악구,333095.68482728244
중앙동,관악구,162637.01073366244
청림동,관악구,168294.57751181355
행운동,관악구,312000.8957655788
청룡동,관악구,346327.589641756
낙성대동,관악구,182773.4141662804
인헌동,관악구,280302.03345302364
남현동,관악구,196128.9816425716
신림동,관악구,232630.07732237337
조원동,관악구,202714.01838435399
미성동,관악구,339340.6492490668
난곡동,관악구,300634.23610018595
난향동,관악구,169376.6258027168
서원동,관악구,248304.3197077428
신원동,관악구,204991.47240615977
서림동,관악구,252323.35621681192
삼성동,관악구,262309.1161585759
대학동,관악구,253539.37239135074
중곡1동,광진구,266146.5004058783
중곡2동,광진구,366883.4370698572
중곡3동,광진구,283522.2037210489
중곡4동,광진구,495353.4225885535
능동,광진구,192348.3873518001
구의2동,광진구,454361.67474893905
광장동,광진구,586429.9868870083
군자동,광진구,358892.5585862946
구의1동,광진구,374841.8981964885
구의3동,광진구,489161.70741467725
자양1동,광진구,392720.0705440942
자양2동,광진구,439368.6471682182
자양3동,광진구,479404.08297835954
자양4동,광진구,378764.3983851744
화양동,광진구,412057.0239536077
고척1동,구로구,660824.2226599978
고척2동,구로구,789382.0490417187
개봉1동,구로구,929691.2467727634
개봉2동,구로구,909316.7626509038
