자치구,읍면동명,독거노인수
종로구,사직동,363
종로구,삼청동,154
종로구,부암동,315
종로구,평창동,637
종로구,무악동,231
종로구,교남동,324
종로구,가회동,197
종로구,종로1.2.3.4가동,838
종로구,종로5·6가동,731
종로구,이화동,405
종로구,창신1동,459
종로구,창신2동,470
종로구,창신3동,215
종로구,숭인1동,379
종로구,숭인2동,564
종로구,청운효자동,440
종로구,혜화동,672
중구,소공동,57
중구,회현동,478
중구,명동,157
중구,필동,226
중구,장충동,186
중구,광희동,375
중구,을지로동,232
중구,신당5동,421
중구,황학동,513
중구,중림동,455
중구,신당동,409
중구,다산동,540
중구,약수동,803
중구,청구동,619
중구,동화동,254
용산구,후암동,775
용산구,용산2가동,511
용산구,남영동,852
용산구,원효로2동,444
용산구,효창동,250
용산구,용문동,352
용산구,이촌1동,632
용산구,이촌2동,354
용산구,이태원1동,319
용산구,이태원2동,427
용산구,서빙고동,408
용산구,보광동,702
용산구,청파동,740
용산구,원효로1동,378
용산구,한강로동,708
용산구,한남동,812
성동구,왕십리2동,601
성동구,마장동,749
성동구,사근동,317
성동구,행당1동,524
성동구,행당2동,669
성동구,응봉동,448
성동구,금호1가동,537
성동구,금호4가동,482
성동구,성수1가1동,494
성동구,성수1가2동,447
성동구,성수2가1동,716
성동구,성수2가3동,348
성동구,송정동,422
성동구,용답동,704
성동구,왕십리도선동,666
성동구,금호2.3가동,705
성동구,옥수동,679
광진구,화양동,508
광진구,군자동,647
광진구,중곡1동,504
광진구,중곡2동,570
광진구,중곡3동,845
광진구,중곡4동,937
광진구,능동,273
광진구,구의1동,591
광진구,구의2동,775
광진구,구의3동,658
광진구,광장동,499
광진구,자양1동,937
광진구,자양2동,585
광진구,자양3동,550
광진구,자양4동,832
동대문구,회기동,416
동대문구,휘경1동,570
동대문구,휘경2동,748
동대문구,청량리동,1603
동대문구,용신동,1735
동대문구,제기동,1747
동대문구,전농1동,1774
동대문구,전농2동,673
동대문구,답십리1동,887
동대문구,답십리2동,1134
동대문구,장안1동,1132
동대문구,장안2동,924
동대문구,이문1동,1239
동대문구,이문2동,773
중랑구,면목2동,786
중랑구,면목4동,710
중랑구,면목5동,370
중랑구,면목7동,625
중랑구,상봉1동,827
중랑구,상봉2동,686
중랑구,중화1동,522
중랑구,중화2동,1327
중랑구,묵1동,743
중랑구,묵2동,724
중랑구,망우3동,672
