자치구,읍면동명,사업체수
종로구,사직동,3544
종로구,삼청동,753
종로구,부암동,567
종로구,평창동,739
종로구,무악동,531
종로구,교남동,347
종로구,가회동,747
종로구,종로1.2.3.4가동,15851
종로구,종로5·6가동,7613
종로구,이화동,1289
종로구,창신1동,2302
종로구,창신2동,871
종로구,창신3동,264
종로구,숭인1동,507
종로구,숭인2동,1812
종로구,청운효자동,1016
종로구,혜화동,1737
중구,소공동,3918
중구,회현동,9425
중구,명동,6770
중구,필동,3075
중구,장충동,855
중구,광희동,9253
중구,을지로동,9453
중구,신당5동,1305
중구,황학동,1867
중구,중림동,982
중구,신당동,12073
중구,다산동,1396
중구,약수동,841
중구,청구동,785
중구,동화동,938
용산구,후암동,859
용산구,용산2가동,557
용산구,남영동,1714
용산구,원효로2동,1010
용산구,효창동,462
용산구,용문동,660
용산구,이촌1동,813
용산구,이촌2동,350
용산구,이태원1동,1652
용산구,이태원2동,752
용산구,서빙고동,385
용산구,보광동,844
용산구,청파동,1881
용산구,원효로1동,1815
용산구,한강로동,4972
용산구,한남동,2080
중구,왕십리2동,803
중구,마장동,3282
중구,사근동,1106
중구,행당1동,1459
중구,행당2동,592
중구,응봉동,379
중구,금호1가동,506
중구,금호4가동,635
중구,성수1가1동,1601
중구,성수1가2동,2346
중구,성수2가1동,2605
중구,성수2가3동,5203
중구,송정동,692
중구,용답동,2089
중구,왕십리도선동,2079
중구,금호2.3가동,1034
중구,옥수동,867
광진구,화양동,2437
광진구,군자동,1580
광진구,중곡1동,1612
광진구,중곡2동,1622
광진구,중곡3동,1330
광진구,중곡4동,1563
광진구,능동,783
광진구,구의1동,1846
광진구,구의2동,1297
광진구,구의3동,2652
광진구,광장동,1419
광진구,자양1동,1711
광진구,자양2동,1487
광진구,자양3동,1353
광진구,자양4동,1996
동대문구,회기동,997
동대문구,휘경1동,977
동대문구,휘경2동,1210
동대문구,청량리동,1679
동대문구,용신동,5640
동대문구,제기동,4750
동대문구,전농1동,2199
동대문구,전농2동,894
동대문구,답십리1동,1961
동대문구,답십리2동,2186
동대문구,장안1동,4572
동대문구,장안2동,3164
동대문구,이문1동,1477
동대문구,이문2동,705
중랑구,면목2동,2035
중랑구,면목4동,1166
중랑구,면목5동,850
중랑구,면목7동,1485
중랑구,상봉1동,1148
중랑구,상봉2동,2102
중랑구,중화1동,1096
중랑구,중화2동,2175
중랑구,묵1동,1513
중랑구,묵2동,1780
중랑구,망우3동,1115
중랑구,신내1동,1998
중랑구,신내2동,1115
중랑구,면목본동,2511
중랑구,면목3.8동,2100
중랑구,망우본동,3856
성북구,돈암1동,389
성북구,돈암2동,433
성북구,안암동,1456
성북구,보문동,1330
성북구,정릉1동,753
성북구,정릉2동,887
성북구,정릉3동,677
성북구,정릉4동,921
성북구,길음1동,1092
성북구,길음2동,935
성북구,월곡1동,1351
성북구,월곡2동,1589
성북구,장위1동,928
성북구,장위2동,1478
성북구,장위3동,628
성북구,성북동,1132
성북구,삼선동,1906
성북구,동선동,1995
성북구,종암동,2022
성북구,석관동,2137
강북구,번1동,1836
강북구,번2동,678
강북구,번3동,912
강북구,수유1동,1432
강북구,수유2동,1339
강북구,수유3동,2446
강북구,삼양동,1186
강북구,미아동,1670
강북구,송중동,1962
강북구,송천동,2106
강북구,삼각산동,775
