자치구,읍면동명,노령화지수
종로구,사직동,165.7
종로구,삼청동,221.7
종로구,부암동,170.1
종로구,평창동,157.4
종로구,무악동,112.2
종로구,교남동,109.0
종로구,가회동,228.9
종로구,종로1.2.3.4가동,423.5
종로구,종로5·6가동,419.6
종로구,이화동,243.6
종로구,창신1동,343.8
종로구,창신2동,287.0
종로구,창신3동,152.6
종로구,숭인1동,203.5
종로구,숭인2동,316.2
종로구,청운효자동,135.9
종로구,혜화동,177.1
중구,소공동,70.7
중구,회현동,372.5
중구,명동,318.6
중구,필동,256.4
중구,장충동,202.1
중구,광희동,385.8
중구,을지로동,715.6
중구,신당5동,175.3
중구,황학동,164.7
중구,중림동,129.2
중구,신당동,252.2
중구,다산동,224.5
중구,약수동,183.4
중구,청구동,179.6
중구,동화동,128.7
용산구,후암동,160.9
용산구,용산2가동,228.8
용산구,남영동,378.0
용산구,원효로2동,128.6
용산구,효창동,127.9
용산구,용문동,145.8
용산구,이촌1동,89.8
용산구,이촌2동,186.5
용산구,이태원1동,249.5
용산구,이태원2동,194.6
용산구,서빙고동,119.3
용산구,보광동,248.7
용산구,청파동,233.9
용산구,원효로1동,97.6
용산구,한강로동,186.7
용산구,한남동,164.7
성동구,왕십리2동,123.7
성동구,마장동,156.9
성동구,사근동,186.6
성동구,행당1동,139.2
성동구,행당2동,101.1
성동구,응봉동,101.2
성동구,금호1가동,120.1
성동구,금호4가동,103.4
성동구,성수1가1동,113.6
성동구,성수1가2동,132.2
성동구,성수2가1동,177.7
성동구,성수2가3동,179.0
성동구,송정동,168.6
성동구,용답동,229.1
성동구,왕십리도선동,100.7
성동구,금호2.3가동,136.6
성동구,옥수동,98.3
광진구,화양동,259.4
광진구,군자동,161.4
광진구,중곡1동,172.6
광진구,중곡2동,132.4
광진구,중곡3동,170.2
광진구,중곡4동,157.5
광진구,능동,152.7
광진구,구의1동,169.6
광진구,구의2동,118.3
광진구,구의3동,105.7
광진구,광장동,50.8
광진구,자양1동,148.6
광진구,자양2동,118.4
광진구,자양3동,85.3
광진구,자양4동,221.7
동대문구,회기동,165.4
동대문구,휘경1동,247.9
동대문구,휘경2동,140.4
동대문구,청량리동,304.3
동대문구,용신동,231.4
동대문구,제기동,279.8
동대문구,전농1동,173.1
동대문구,전농2동,142.5
동대문구,답십리1동,94.3
동대문구,답십리2동,170.6
동대문구,장안1동,133.1
동대문구,장안2동,101.2
동대문구,이문1동,214.4
동대문구,이문2동,139.8
중랑구,면목2동,159.7
중랑구,면목4동,176.1
중랑구,면목5동,172.0
중랑구,면목7동,202.6
중랑구,상봉1동,109.7
중랑구,상봉2동,207.3
중랑구,중화1동,141.8
중랑구,중화2동,249.7
중랑구,묵1동,117.8
중랑구,묵2동,156.4
중랑구,망우3동,186.4
중랑구,신내1동,96.8
중랑구,신내2동,131.7
중랑구,면목본동,181.3
중랑구,면목3.8동,211.8
중랑구,망우본동,194.6
성북구,돈암1동,156.0
성북구,돈암2동,80.1
성북구,안암동,221.0
성북구,보문동,145.7
성북구,정릉1동,123.7
성북구,정릉2동,152.0
성북구,정릉3동,246.5
성북구,정릉4동,139.7
성북구,길음1동,57.9
성북구,길음2동,136.6
성북구,월곡1동,110.1
성북구,월곡2동,155.2
성북구,장위1동,188.1
성북구,장위2동,267.0
성북구,장위3동,141.7
성북구,성북동,183.2
성북구,삼선동,161.5
성북구,동선동,195.1
성북구,종암동,118.5
성북구,석관동,197.1
강북구,번1동,241.2
강북구,번2동,254.3
강북구,번3동,237.2
강북구,수유1동,211.9
강북구,수유2동,220.0
강북구,수유3동,263.5
강북구,삼양동,179.8
강북구,미아동,238.7
강북구,송중동,212.7
강북구,송천동,247.8
강북구,삼각산동,70.6
강북구,우이동,217.2
강북구,인수동,210.2
도봉구,쌍문1동,184.9
도봉구,쌍문2동,180.7
도봉구,쌍문3동,215.5
도봉구,쌍문4동,109.6
도봉구,방학1동,174.8
도봉구,방학2동,207.2
도봉구,방학3동,112.6
도봉구,창1동,131.6
도봉구,창2동,134.0
도봉구,창3동,179.9
도봉구,창4동,107.8
도봉구,창5동,140.1
도봉구,도봉1동,304.4
도봉구,도봉2동,205.2
노원구,월계1동,166.2
노원구,월계2동,173.5
노원구,월계3동,135.6
노원구,공릉2동,81.9
노원구,하계1동,140.1
노원구,하계2동,90.9
노원구,중계본동,65.5
노원구,중계1동,44.1
노원구,중계4동,149.7
노원구,상계1동,142.7
노원구,상계2동,153.4
노원구,상계5동,201.0
노원구,상계8동,61.2
노원구,상계9동,106.9
노원구,상계10동,109.8
노원구,상계3.4동,236.3
노원구,상계6.7동,92.5
노원구,중계2.3동,158.4
노원구,공릉1동,143.3
은평구,녹번동,172.7
은평구,불광1동,163.5
은평구,갈현1동,198.7
은평구,갈현2동,147.5
은평구,구산동,155.8
은평구,대조동,197.0
은평구,응암1동,129.6
은평구,응암2동,87.0
은평구,신사1동,151.9
은평구,신사2동,150.7
은평구,증산동,185.0
은평구,수색동,230.2
은평구,진관동,73.4
은평구,불광2동,228.8
은평구,응암3동,258.3
은평구,역촌동,142.8
서대문구,천연동,138.0
서대문구,홍제1동,167.9
서대문구,홍제3동,237.2
서대문구,홍제2동,168.7
서대문구,홍은1동,184.8
서대문구,홍은2동,171.9
서대문구,남가좌1동,66.0
서대문구,남가좌2동,153.0
서대문구,북가좌1동,100.9
서대문구,북가좌2동,178.5
서대문구,충현동,217.7
서대문구,북아현동,110.0
서대문구,신촌동,151.8
서대문구,연희동,183.0
마포구,용강동,76.3
마포구,대흥동,239.0
마포구,염리동,118.6
마포구,신수동,118.6
마포구,서교동,195.7
마포구,합정동,135.3
마포구,망원1동,164.9
마포구,망원2동,124.2
마포구,연남동,198.9
마포구,성산1동,145.1
마포구,성산2동,115.2
마포구,상암동,61.9
마포구,도화동,138.8
마포구,서강동,103.5
마포구,공덕동,157.0
마포구,아현동,81.5
양천구,목1동,47.1
양천구,목2동,108.4
양천구,목3동,131.2
양천구,목4동,89.6
양천구,신월1동,184.5
양천구,신월2동,128.0
양천구,신월3동,164.7
양천구,신월4동,103.4
양천구,신월5동,115.3
양천구,신월6동,134.7
양천구,신월7동,177.4
양천구,신정1동,67.4
양천구,신정2동,82.7
양천구,신정3동,87.4
양천구,신정6동,58.2
양천구,신정7동,120.6
양천구,목5동,49.0
양천구,신정4동,161.6
강서구,염창동,54.2
강서구,등촌1동,116.0
강서구,등촌2동,119.1
강서구,등촌3동,194.6
강서구,화곡본동,104.9
강서구,화곡2동,107.7
강서구,화곡3동,153.5
강서구,화곡4동,154.9
강서구,화곡6동,144.2
강서구,화곡8동,146.9
강서구,가양1동,86.9
강서구,가양2동,422.9
강서구,가양3동,263.1
강서구,발산1동,62.5
강서구,공항동,93.7
강서구,방화1동,78.5
강서구,방화2동,202.3
강서구,방화3동,175.1
강서구,화곡1동,157.6
강서구,우장산동,71.1
구로구,신도림동,70.1
구로구,구로1동,64.6
구로구,구로3동,117.1
구로구,구로4동,197.8
구로구,구로5동,127.7
구로구,고척1동,141.6
구로구,고척2동,128.2
구로구,개봉2동,134.8
구로구,개봉3동,146.9
구로구,오류1동,173.8
구로구,오류2동,96.4
구로구,수궁동,127.0
구로구,가리봉동,244.7
구로구,구로2동,202.4
구로구,개봉1동,153.3
금천구,가산동,162.9
금천구,독산1동,114.3
금천구,독산2동,159.7
금천구,독산3동,176.5
금천구,독산4동,165.7
금천구,시흥1동,148.8
금천구,시흥2동,121.1
금천구,시흥3동,199.6
