자치구,읍면동명,인구밀도
종로구,사직동,7982
종로구,삼청동,2062
종로구,부암동,4642
종로구,평창동,2154
종로구,무악동,22944
종로구,교남동,30989
종로구,가회동,8419
종로구,종로1.2.3.4가동,3601
종로구,종로5·6가동,9328
종로구,이화동,11053
종로구,창신1동,20119
종로구,창신2동,38519
종로구,창신3동,32343
종로구,숭인1동,29230
종로구,숭인2동,28823
종로구,청운효자동,5172
종로구,혜화동,18184
중구,소공동,3091
중구,회현동,7086
중구,명동,3505
중구,필동,4425
중구,장충동,4157
중구,광희동,8185
중구,을지로동,3168
중구,신당5동,24849
중구,황학동,40545
중구,중림동,27042
중구,신당동,17125
중구,다산동,29633
중구,약수동,37444
중구,청구동,43659
중구,동화동,43150
용산구,후암동,21748
용산구,용산2가동,6177
용산구,남영동,7144
용산구,원효로2동,21217
용산구,효창동,20577
용산구,용문동,45561
용산구,이촌1동,10259
용산구,이촌2동,7451
용산구,이태원1동,16342
용산구,이태원2동,12706
용산구,서빙고동,5092
용산구,보광동,22710
용산구,청파동,22991
용산구,원효로1동,27176
용산구,한강로동,6624
용산구,한남동,7869
중구,왕십리2동,44263
중구,마장동,22790
중구,사근동,12079
중구,행당1동,28353
중구,행당2동,59702
중구,응봉동,28781
중구,금호1가동,35198
중구,금호4가동,18438
중구,성수1가1동,8874
중구,성수1가2동,17737
중구,성수2가1동,15523
중구,성수2가3동,11568
중구,송정동,17321
중구,용답동,6750
중구,왕십리도선동,38685
중구,금호2.3가동,38230
중구,옥수동,14112
광진구,화양동,21383
광진구,군자동,29769
광진구,중곡1동,26613
광진구,중곡2동,41271
광진구,중곡3동,29738
광진구,중곡4동,13431
광진구,능동,10810
광진구,구의1동,41575
광진구,구의2동,20125
광진구,구의3동,29878
광진구,광장동,15192
광진구,자양1동,42940
광진구,자양2동,16330
광진구,자양3동,25110
광진구,자양4동,20736
동대문구,회기동,16932
동대문구,휘경1동,23259
동대문구,휘경2동,23950
동대문구,청량리동,18773
동대문구,용신동,19852
동대문구,제기동,23369
동대문구,전농1동,26040
동대문구,전농2동,23664
동대문구,답십리1동,36410
동대문구,답십리2동,34082
동대문구,장안1동,31370
동대문구,장안2동,29036
동대문구,이문1동,25904
동대문구,이문2동,31890
중랑구,면목2동,36277
중랑구,면목4동,18676
중랑구,면목5동,15736
중랑구,면목7동,25584
중랑구,상봉1동,30140
중랑구,상봉2동,28299
중랑구,중화1동,30926
중랑구,중화2동,29245
중랑구,묵1동,30194
중랑구,묵2동,29079
중랑구,망우3동,18519
중랑구,신내1동,16310
중랑구,신내2동,22605
중랑구,면목본동,36196
중랑구,면목3.8동,16251
중랑구,망우본동,11039
성북구,돈암1동,33478
성북구,돈암2동,52652
성북구,안암동,12977
성북구,보문동,30477
성북구,정릉1동,42368
성북구,정릉2동,20741
성북구,정릉3동,4661
성북구,정릉4동,8678
성북구,길음1동,47885
성북구,길음2동,20288
성북구,월곡1동,34388
성북구,월곡2동,15222
성북구,장위1동,30326
성북구,장위2동,22491
성북구,장위3동,17983
성북구,성북동,6259
성북구,삼선동,29316
성북구,동선동,22447
성북구,종암동,29367
성북구,석관동,19680
강북구,번1동,36298
강북구,번2동,14003
강북구,번3동,22055
강북구,수유1동,20877
강북구,수유2동,30858
강북구,수유3동,28233
강북구,삼양동,27974
강북구,미아동,31819
강북구,송중동,24220
강북구,송천동,33544
강북구,삼각산동,54071
강북구,우이동,2000
강북구,인수동,11278
도봉구,쌍문1동,18087
도봉구,쌍문2동,38111
도봉구,쌍문3동,34812
도봉구,쌍문4동,38658
도봉구,방학1동,44294
도봉구,방학2동,29254
도봉구,방학3동,11112
도봉구,창1동,30369
도봉구,창2동,29300
도봉구,창3동,22612
도봉구,창4동,29650
도봉구,창5동,37184
도봉구,도봉1동,2619
도봉구,도봉2동,34973
노원구,월계1동,20765
노원구,월계2동,13759
노원구,월계3동,27774
노원구,공릉2동,6091
노원구,하계1동,19291
노원구,하계2동,46769
노원구,중계본동,13636
노원구,중계1동,45002
노원구,중계4동,12848
노원구,상계1동,7297
노원구,상계2동,35449
노원구,상계5동,25970
노원구,상계8동,36458
노원구,상계9동,27590
노원구,상계10동,21276
노원구,상계3.4동,5272
노원구,상계6.7동,31964
노원구,중계2.3동,41984
노원구,공릉1동,28362
은평구,녹번동,19498
은평구,불광1동,13286
은평구,갈현1동,25970
은평구,갈현2동,31971
은평구,구산동,24733
은평구,대조동,38362
은평구,응암1동,21821
은평구,응암2동,27033
은평구,신사1동,34436
은평구,신사2동,22247
은평구,증산동,20262
은평구,수색동,8733
은평구,진관동,4899
은평구,불광2동,21677
은평구,응암3동,41932
은평구,역촌동,42773
서대문구,천연동,19633
서대문구,홍제1동,18799
서대문구,홍제3동,20514
서대문구,홍제2동,14223
서대문구,홍은1동,15273
서대문구,홍은2동,14080
서대문구,남가좌1동,33724
서대문구,남가좌2동,32453
서대문구,북가좌1동,37137
서대문구,북가좌2동,40758
서대문구,충현동,16331
서대문구,북아현동,38765
서대문구,신촌동,9094
서대문구,연희동,13263
마포구,용강동,26961
마포구,대흥동,15524
마포구,염리동,30379
마포구,신수동,27956
마포구,서교동,15918
마포구,합정동,11358
마포구,망원1동,19580
마포구,망원2동,29315
마포구,연남동,27177
마포구,성산1동,25554
마포구,성산2동,20166
마포구,상암동,3994
마포구,도화동,36847
마포구,서강동,17670
마포구,공덕동,40105
마포구,아현동,33572
양천구,목1동,23020
양천구,목2동,30829
양천구,목3동,43832
양천구,목4동,47875
양천구,신월1동,34429
양천구,신월2동,37464
양천구,신월3동,19754
양천구,신월4동,37183
양천구,신월5동,22839
양천구,신월6동,16622
양천구,신월7동,18779
양천구,신정1동,30967
양천구,신정2동,40360
양천구,신정3동,17941
양천구,신정6동,26563
양천구,신정7동,24953
양천구,목5동,23972
양천구,신정4동,35835
강서구,염창동,23572
강서구,등촌1동,39929
강서구,등촌2동,24041
강서구,등촌3동,42125
강서구,화곡본동,32784
강서구,화곡2동,42640
강서구,화곡3동,44569
강서구,화곡4동,27676
강서구,화곡6동,22179
강서구,화곡8동,50628
강서구,가양1동,7140
강서구,가양2동,15763
강서구,가양3동,16683
강서구,발산1동,13135
강서구,공항동,2635
강서구,방화1동,44574
강서구,방화2동,3805
강서구,방화3동,10467
강서구,화곡1동,48828
강서구,우장산동,34121
구로구,신도림동,25588
구로구,구로1동,21481
구로구,구로3동,26445
구로구,구로4동,59054
구로구,구로5동,33092
구로구,고척1동,21258
구로구,고척2동,28964
구로구,개봉2동,42144
구로구,개봉3동,27353
구로구,오류1동,38392
구로구,오류2동,9869
구로구,수궁동,9536
구로구,가리봉동,40515
구로구,구로2동,20619
구로구,개봉1동,26456
금천구,가산동,9706
금천구,독산1동,20012
금천구,독산2동,36838
금천구,독산3동,33372
금천구,독산4동,31824
금천구,시흥1동,21683
금천구,시흥2동,18455
금천구,시흥3동,10972
금천구,시흥4동,26146
금천구,시흥5동,15350
영등포구,여의동,4044
영등포구,당산1동,28481
영등포구,당산2동,23349
영등포구,양평1동,20408
영등포구,양평2동,7654
영등포구,신길1동,29842
영등포구,신길3동,33775
영등포구,신길4동,29786
영등포구,신길5동,24785
영등포구,신길6동,29119
영등포구,신길7동,26900
영등포구,대림1동,34755
영등포구,대림2동,40420
영등포구,대림3동,31073
영등포구,영등포본동,24980
영등포구,영등포동,20723
영등포구,도림동,24919
영등포구,문래동,21648
동작구,노량진2동,22355
동작구,상도1동,31998
동작구,상도2동,28334
동작구,상도3동,43635
동작구,상도4동,40352
동작구,사당1동,30461
동작구,사당3동,29089
동작구,사당4동,39713
동작구,사당5동,23170
동작구,대방동,26039
동작구,신대방1동,43894
동작구,신대방2동,20462
동작구,흑석동,19780
동작구,노량진1동,20761
동작구,사당2동,10452
관악구,보라매동,34734
관악구,청림동,55090
관악구,행운동,42275
관악구,낙성대동,7833
관악구,중앙동,40297
관악구,인헌동,25271
관악구,남현동,5810
관악구,서원동,36820
관악구,신원동,36580
관악구,서림동,25132
관악구,신사동,41316
관악구,신림동,41215
관악구,난향동,20866
관악구,조원동,29588
관악구,대학동,2991
관악구,은천동,45894
관악구,성현동,48578
관악구,청룡동,25629
관악구,난곡동,30713
관악구,삼성동,9800
관악구,미성동,24127
서초구,서초1동,15193
서초구,서초2동,14924
서초구,서초3동,10496
서초구,서초4동,36156
서초구,잠원동,19865
서초구,반포본동,12458
서초구,반포1동,32109
서초구,반포2동,12416
서초구,반포3동,15964
서초구,반포4동,14406
서초구,방배본동,32457
서초구,방배1동,25261
서초구,방배2동,11653
서초구,방배3동,9278
서초구,방배4동,24941
서초구,양재1동,8110
서초구,양재2동,3170
서초구,내곡동,1474
강남구,신사동,9425
강남구,논현1동,19249
강남구,논현2동,15173
강남구,삼성1동,7862
강남구,삼성2동,24590
강남구,대치1동,32392
강남구,대치4동,29130
강남구,역삼1동,15686
강남구,역삼2동,32019
강남구,도곡1동,22396
강남구,도곡2동,34024
강남구,개포1동,6142
강남구,개포4동,12698
강남구,일원본동,9605
강남구,일원1동,18626
강남구,일원2동,13381
강남구,수서동,11483
강남구,세곡동,7145
강남구,압구정동,11125
강남구,청담동,12955
강남구,대치2동,20082
강남구,개포2동,5520
송파구,풍납1동,21273
송파구,풍납2동,15817
송파구,거여1동,26155
송파구,거여2동,32640
송파구,마천1동,36800
송파구,마천2동,23240
송파구,방이1동,33262
