자치구,읍면동명,장애등급
종로구,사직동,309
종로구,삼청동,118
종로구,부암동,325
종로구,평창동,542
종로구,무악동,318
종로구,교남동,354
종로구,가회동,175
종로구,종로1.2.3.4가동,379
종로구,종로5·6가동,266
종로구,이화동,330
종로구,창신1동,319
종로구,창신2동,484
종로구,창신3동,318
종로구,숭인1동,275
종로구,숭인2동,433
종로구,청운효자동,500
종로구,혜화동,571
중구,소공동,31
중구,회현동,329
중구,명동,126
중구,필동,186
중구,장충동,194
중구,광희동,231
중구,을지로동,88
중구,신당5동,450
중구,황학동,514
중구,중림동,531
중구,신당동,380
중구,다산동,633
중구,약수동,875
중구,청구동,638
중구,동화동,432
용산구,후암동,807
용산구,용산2가동,488
용산구,남영동,575
용산구,원효로2동,496
용산구,효창동,307
용산구,용문동,475
용산구,이촌1동,538
용산구,이촌2동,378
용산구,이태원1동,236
용산구,이태원2동,337
용산구,서빙고동,408
용산구,보광동,626
용산구,청파동,824
용산구,원효로1동,444
용산구,한강로동,519
용산구,한남동,644
성동구,왕십리2동,678
성동구,마장동,1096
성동구,사근동,395
성동구,행당1동,638
성동구,행당2동,890
성동구,응봉동,528
성동구,금호1가동,661
성동구,금호4가동,521
성동구,성수1가1동,617
성동구,성수1가2동,578
성동구,성수2가1동,840
성동구,성수2가3동,448
성동구,송정동,523
성동구,용답동,793
성동구,왕십리도선동,993
성동구,금호2.3가동,955
성동구,옥수동,726
광진구,화양동,549
광진구,군자동,790
광진구,중곡1동,686
광진구,중곡2동,884
광진구,중곡3동,775
광진구,중곡4동,1374
광진구,능동,366
광진구,구의1동,833
광진구,구의2동,1131
광진구,구의3동,818
광진구,광장동,731
광진구,자양1동,902
광진구,자양2동,975
광진구,자양3동,867
광진구,자양4동,929
동대문구,회기동,313
동대문구,휘경1동,601
동대문구,휘경2동,901
동대문구,청량리동,1374
동대문구,용신동,1442
동대문구,제기동,1329
동대문구,전농1동,1526
동대문구,전농2동,891
동대문구,답십리1동,1045
동대문구,답십리2동,1408
동대문구,장안1동,1653
동대문구,장안2동,1266
동대문구,이문1동,1059
동대문구,이문2동,1030
중랑구,면목2동,1280
중랑구,면목4동,1242
중랑구,면목5동,517
중랑구,면목7동,1053
