,읍면동명,자치구,선거인수,새누리당,더불어민주당,국민의당,독거노인수,유년부양비,노년부양비,노령화지수,사업체수,종사자수,사업체 창업률,중위연령,기초수급자인원수,보육시설,금융기관,사업체 평균연령,장애등급
0,신사동,강남구,14827,4774.0,2817,,380,15.8,19.1,121.3,"4,503","27,741",15.94,40.6,128,303,13.0,6.832999999999998,383.0
1,논현1동,강남구,21876,3966.0,4769,,500,7.2,12.4,172.1,"5,788","44,157",17.78,37.5,356,375,18.0,7.25,648.0
2,논현2동,강남구,19063,4639.0,4017,,409,11.9,14.9,124.8,"5,656","60,642",17.57,38.8,319,287,23.0,7.582999999999998,509.0
3,압구정동,강남구,22435,8301.0,3539,,647,20.0,21.4,107.1,"4,314","29,474",16.16,41.5,48,301,32.0,7.167000000000002,471.0
4,청담동,강남구,24507,7366.0,4777,,491,16.3,15.2,93.5,"4,497","39,652",14.21,40.0,210,507,21.0,7.582999999999998,584.0
5,역삼1동,강남구,31222,5285.0,6839,,679,6.5,10.1,154.3,"15,079","147,157",19.18,36.5,415,767,54.0,6.917000000000002,760.0
6,역삼2동,강남구,26632,6988.0,6513,,453,21.4,11.3,53.1,"3,416","38,937",16.77,38.2,343,528,15.0,7.832999999999998,672.0
7,삼성1동,강남구,11991,3792.0,2228,,243,14.6,15.4,105.5,"4,330","66,958",16.77,40.6,107,565,29.0,7.667000000000002,281.0
8,삼성2동,강남구,23856,6262.0,5159,,479,19.0,12.0,63.3,"3,734","38,887",17.89,38.3,324,733,17.0,8.0,567.0
9,대치1동,강남구,16660,6362.0,3281,,151,24.2,10.1,41.7,"1,066","7,154",17.54,40.3,18,294,15.0,7.75,266.0
10,대치2동,강남구,31132,10404.0,6970,,471,14.6,11.4,77.7,"3,468","57,241",13.58,41.6,141,504,21.0,9.0,707.0
11,대치4동,강남구,16885,3467.0,3848,,315,10.5,9.7,92.8,"3,716","27,829",17.01,38.2,229,617,15.0,6.5,368.0
